classifying bobcat jpgs...
bobcat (score = 0.84058) | filename: Cam3_EK000257.JPG
bobcat (score = 0.74108) | filename: Cam4_EK001771.JPG
bobcat (score = 0.80850) | filename: Cam4_EK001778.JPG
bobcat (score = 0.91927) | filename: Cam4_EK001767.JPG
bobcat (score = 0.97616) | filename: Cam4_EK001754.JPG
bobcat (score = 0.85900) | filename: Cam4_EK001776.JPG
bobcat (score = 0.88853) | filename: Cam4_EK001273.JPG
bobcat (score = 0.83822) | filename: Cam4_EK001775.JPG
bobcat (score = 0.80759) | filename: Cam4_EK001765.JPG
bobcat (score = 0.97583) | filename: Cam3_EK001464.JPG
bobcat (score = 0.97551) | filename: Cam4_EK001628.JPG
bobcat (score = 0.94218) | filename: Cam4_EK001496.JPG
bobcat (score = 0.91532) | filename: Cam3_EK000260.JPG
bobcat (score = 0.87525) | filename: Cam4_EK001495.JPG
bobcat (score = 0.94072) | filename: Cam4_EK001374.JPG
bobcat (score = 0.88002) | filename: Cam4_EK001629.JPG
bobcat (score = 0.90831) | filename: Cam4_EK001372.JPG
bobcat (score = 0.97565) | filename: Cam4_EK001274.JPG
bobcat (score = 0.94509) | filename: Cam3_EK000259.JPG
bobcat (score = 0.90410) | filename: Cam4_EK001766.JPG
bobcat (score = 0.97423) | filename: Cam3_EK000256.JPG
deer (score = 0.64714) | filename: Cam3_EK000258.JPG
bobcat (score = 0.98586) | filename: Cam4_EK001373.JPG
bobcat (score = 0.98240) | filename: Cam4_EK001755.JPG
bobcat (score = 0.90758) | filename: Cam4_EK001773.JPG
bobcat (score = 0.98524) | filename: Cam4_EK001627.JPG
bobcat (score = 0.87687) | filename: Cam4_EK001631.JPG
bobcat (score = 0.94443) | filename: Cam4_EK001777.JPG
bobcat (score = 0.96713) | filename: Cam3_EK001463.JPG
bobcat (score = 0.89092) | filename: Cam4_EK001630.JPG
bobcat (score = 0.94891) | filename: Cam4_EK001632.JPG
bobcat (score = 0.48904) | filename: Cam4_EK001497.JPG
bobcat (score = 0.96114) | filename: Cam4_EK001779.JPG
bobcat (score = 0.96203) | filename: Cam3_EK001462.JPG
bobcat (score = 0.61762) | filename: Cam3_EK000261.JPG
bobcat (score = 0.98383) | filename: Cam4_EK001772.JPG
bobcat (score = 0.99495) | filename: Cam4_EK001275.JPG
classifying deer jpgs...
possum (score = 0.56016) | filename: Cam3_EK000516.JPG
deer (score = 0.99923) | filename: Cam3_EK000372.JPG
deer (score = 0.99963) | filename: Cam3_EK001267.JPG
deer (score = 0.96256) | filename: Cam3_EK000211.JPG
deer (score = 0.99773) | filename: Cam3_EK000180.JPG
deer (score = 0.99927) | filename: Cam3_EK001331.JPG
possum (score = 0.86959) | filename: Cam3_EK000285.JPG
possum (score = 0.56034) | filename: Cam3_EK000515.JPG
classifying human jpgs...
human (score = 0.58813) | filename: Cam4_EK001725.JPG
human (score = 0.83167) | filename: Cam4_EK001746.JPG
human (score = 0.99971) | filename: Cam4_EK001928.JPG
human (score = 0.99997) | filename: Cam4_EK001476.JPG
human (score = 0.98022) | filename: Cam4_EK001247.JPG
human (score = 0.97479) | filename: Cam4_EK001824.JPG
human (score = 0.99853) | filename: Cam4_EK001797.JPG
human (score = 0.82502) | filename: Cam4_EK001806.JPG
human (score = 0.99958) | filename: Cam4_EK001702.JPG
human (score = 0.99884) | filename: Cam4_EK001206.JPG
human (score = 0.99817) | filename: Cam4_EK001310.JPG
human (score = 0.99914) | filename: Cam4_EK001400.JPG
human (score = 0.99983) | filename: Cam4_EK001399.JPG
human (score = 0.99991) | filename: Cam4_EK001643.JPG
human (score = 0.99073) | filename: Cam3_EK000743.JPG
human (score = 0.99983) | filename: Cam4_EK001705.JPG
human (score = 0.99837) | filename: Cam4_EK001204.JPG
deer (score = 0.75040) | filename: Cam4_EK001822.JPG
human (score = 0.99890) | filename: Cam4_EK001572.JPG
human (score = 0.99980) | filename: Cam4_EK001703.JPG
human (score = 0.99984) | filename: Cam4_EK001568.JPG
human (score = 0.96151) | filename: Cam4_EK001828.JPG
human (score = 0.99957) | filename: Cam4_EK001603.JPG
human (score = 0.99995) | filename: Cam4_EK001474.JPG
human (score = 0.54076) | filename: Cam4_EK001281.JPG
human (score = 0.99708) | filename: Cam4_EK001927.JPG
human (score = 0.99990) | filename: Cam4_EK001913.JPG
human (score = 0.97093) | filename: Cam4_EK001438.JPG
human (score = 0.99990) | filename: Cam4_EK001297.JPG
human (score = 0.99982) | filename: Cam4_EK001642.JPG
human (score = 0.97999) | filename: Cam4_EK001440.JPG
human (score = 0.99829) | filename: Cam4_EK001243.JPG
human (score = 0.77509) | filename: Cam4_EK001823.JPG
human (score = 0.99860) | filename: Cam4_EK001605.JPG
human (score = 0.99995) | filename: Cam4_EK001764.JPG
human (score = 0.99847) | filename: Cam4_EK001244.JPG
human (score = 0.97582) | filename: Cam4_EK001807.JPG
human (score = 0.99998) | filename: Cam4_EK001690.JPG
human (score = 0.99979) | filename: Cam4_EK001470.JPG
human (score = 0.86804) | filename: Cam4_EK001280.JPG
human (score = 0.80616) | filename: Cam4_EK001647.JPG
human (score = 0.99987) | filename: Cam4_EK001762.JPG
human (score = 0.97035) | filename: Cam4_EK001684.JPG
human (score = 0.37569) | filename: Cam4_EK001896.JPG
human (score = 0.96225) | filename: Cam4_EK001941.JPG
nothing (score = 0.48642) | filename: Cam4_EK001646.JPG
human (score = 0.99978) | filename: Cam4_EK001892.JPG
human (score = 0.55694) | filename: Cam4_EK001602.JPG
human (score = 0.99994) | filename: Cam4_EK001468.JPG
human (score = 0.99864) | filename: Cam4_EK001255.JPG
human (score = 0.96441) | filename: Cam4_EK001933.JPG
human (score = 0.99827) | filename: Cam4_EK001916.JPG
nothing (score = 0.71606) | filename: Cam4_EK001472.JPG
